16:58:41 -  UI size = 50
16:58:43 -  Execution time: 194ms.
16:58:44 -  UI_Log: AP used for movement: 8.500000
16:58:44 -  UI_Log: Bernard Norman(0, 0) moved to coordinate (3, 1)
16:58:44 -  Execution time: 226ms.
16:58:47 -  UI_Log: AP used for movement: 5.000000
16:58:47 -  UI_Log: Bernard Norman(2, 0) moved to coordinate (4, 1)
16:58:48 -  Execution time: 179ms.
16:58:49 -  UI_Log: AP used for movement: 7.000000
16:58:49 -  UI_Log: Bernard Norman(3, 0) moved to coordinate (5, 1)
16:58:49 -  Execution time: 165ms.
16:58:51 -  UI_Log: AP used for movement: 5.000000
16:58:51 -  UI_Log: Bernard Norman(4, 0) moved to coordinate (6, 1)
16:58:51 -  Execution time: 197ms.
16:58:51 -  UI_Log: AP used for movement: 1.500000
16:58:51 -  UI_Log: Bernard Norman(5, 0) moved to coordinate (7, 1)
16:58:52 -  Execution time: 195ms.
16:58:52 -  UI_Log: AP used for movement: 5.000000
16:58:52 -  UI_Log: Bernard Norman(6, 0) moved to coordinate (8, 1)
16:58:52 -  Execution time: 178ms.
16:58:53 -  UI_Log: AP used for movement: 4.000000
16:58:53 -  UI_Log: Bernard Norman(7, 0) moved to coordinate (9, 1)
16:58:53 -  Execution time: 181ms.
16:58:56 -  UI_Log: Bernard Norman(8, 0) moved to coordinate (14, 1)
16:58:57 -  Execution time: 495ms.
16:58:57 -  UI_Log: AP used for movement: 4.500000
16:58:57 -  UI_Log: Bernard Norman (14, 1) attacked Benny Wulfheart (15, 1)
16:58:57 -  UI_Log: Bernard Norman rolled: 0
16:58:57 -  UI_Log: Benny Wulfheart rolled: 20
16:58:57 -  UI_Log: Ability Result: Critical Fail
16:58:57 -  UI_Log: Bernard Norman received 3 damage.
16:58:57 -  Execution time: 186ms.
16:58:58 -  UI_Log: Player seletion moved to coordinate (14, 1) from (14,0)
16:58:58 -  Execution time: 171ms.
16:58:59 -  UI_Log: AP used for movement: 4.500000
16:58:59 -  UI_Log: Bernard Norman (14, 1) attacked Benny Wulfheart (15, 1)
16:58:59 -  UI_Log: Bernard Norman rolled: 15
16:58:59 -  UI_Log: Benny Wulfheart rolled: 16
16:58:59 -  UI_Log: Ability Result: Small Fail
16:58:59 -  UI_Log: Bernard Norman received 2 damage.
16:58:59 -  Execution time: 204ms.
16:59:1 -  UI_Log: Player seletion moved to coordinate (14, 1) from (14,0)
16:59:1 -  Execution time: 150ms.
16:59:2 -  UI_Log: AP used for movement: 4.500000
16:59:2 -  UI_Log: Bernard Norman (14, 1) attacked Benny Wulfheart (15, 1)
16:59:2 -  UI_Log: Bernard Norman rolled: 5
16:59:2 -  UI_Log: Benny Wulfheart rolled: 16
16:59:2 -  UI_Log: Ability Result: Critical Fail
16:59:2 -  UI_Log: Bernard Norman received 3 damage.
16:59:2 -  Execution time: 208ms.
16:59:3 -  UI_Log: Player seletion moved to coordinate (14, 1) from (14,0)
16:59:3 -  Execution time: 186ms.
16:59:3 -  UI_Log: AP used for movement: 4.500000
16:59:3 -  UI_Log: Bernard Norman (14, 1) attacked Benny Wulfheart (15, 1)
16:59:3 -  UI_Log: Bernard Norman rolled: 12
16:59:3 -  UI_Log: Benny Wulfheart rolled: 0
16:59:3 -  UI_Log: Ability Result: Critical Success
16:59:3 -  UI_Log: Benny Wulfheart received 5 damage.
16:59:3 -  Execution time: 170ms.
16:59:4 -  UI_Log: Player seletion moved to coordinate (14, 1) from (14,0)
16:59:4 -  Execution time: 199ms.
16:59:6 -  UI_Log: AP used for movement: 8.500000
16:59:6 -  UI_Log: Bernard Norman (14, 1) attacked Taras Benner (16, 1)
16:59:6 -  UI_Log: Bernard Norman rolled: 0
16:59:6 -  UI_Log: Taras Benner rolled: 4
16:59:6 -  UI_Log: Ability Result: Critical Fail
16:59:6 -  UI_Log: Bernard Norman received 5 damage.
16:59:6 -  UI_Log: Bernard Norman (1, 14) died.
16:59:6 -  Execution time: 1079ms.
16:59:9 -  Close game
